"ID","Sex","BirthYear","Status","Year","Age","Weight","PopSize","Survival","UniqueExtractionID","qPCRPlate","qPCRRow","LowPurity","RTL","DateCollect","DateProc","Condition","Strongyles","Strongyloides","Coccidea","Nematodirus","Trichuris","Capillaria","Monezia","Person","DateCollect_dmy","MonthofCollection"
9769,"F",2014,"Alive",2015,1,16.15,513,1,2975,62,"C",0,2.2451303808828,"10-Aug-15","24-Aug-15",3,0,0,600,0,0,0,2,"JGP","2015-08-10",8
9769,"F",2014,"Alive",2016,2,20.25,444,1,2574,54,"D",0,2.10183400553518,"14-Aug-16","30-Aug-16",1,100,0,200,0,0,0,2,"JGP","2016-08-14",8
9775,"M",2014,"Alive",2014,0,18.65,482,1,2387,50,"G",0,1.71471652142122,"19-Aug-14","31-Aug-14",1,500,NA,6000,0,0,0,2,"JGP","2014-08-19",8
9775,"M",2014,"Alive",2015,1,20.5,513,1,3615,75,"B",0,1.60484968796234,"07-Aug-15","23-Aug-15",2,400,200,1400,0,0,0,2,"JGP","2015-08-07",8
9775,"M",2014,"Alive",2016,2,32.7,444,1,2483,52,"H",0,1.73155154896081,"14-Aug-16","30-Aug-16",1.5,400,100,600,0,0,0,2,"JGP","2016-08-14",8
9784,"F",2014,"Alive",2014,0,12.9,482,1,2440,51,"E",0,1.68314313153102,"15-Aug-14","29-Aug-14",1.5,300,NA,6500,0,0,0,2,"JGP","2014-08-15",8
9784,"F",2014,"Alive",2016,2,20.5,444,1,2802,59,"C",0,1.0101046146358,"20-Aug-16","02-Sep-16",2,0,0,300,0,0,0,2,"JGP","2016-08-20",8
9795,"F",2014,"Alive",2014,0,11.5,482,1,2749,57,"E",0,1.98576825922007,"09-Aug-14","28-Aug-14",1,200,NA,3900,0,0,0,2,"JGP","2014-08-09",8
9795,"F",2014,"Alive",2015,1,14.9,513,1,3402,71,"C",0,1.41699396821767,"07-Aug-15","23-Aug-15",1.5,50,0,400,0,0,0,2,"JGP","2015-08-07",8
9795,"F",2014,"Alive",2016,2,19.75,444,1,2854,60,"G",0,1.95126869401988,"14-Aug-16","30-Aug-16",3,500,0,200,0,0,0,2,"JGP","2016-08-14",8
9797,"F",2014,"Dead",2015,1,18.7,513,1,4357,92,"F",0,1.51907096677614,"07-Aug-15","23-Aug-15",2,0,0,4800,0,0,0,2,"JGP","2015-08-07",8
9797,"F",2014,"Dead",2016,2,23.25,444,1,2121,96,"G",0,2.10444811327555,"14-Aug-16","30-Aug-16",1.5,0,0,1400,0,0,0,2,"JGP","2016-08-14",8
9800,"M",2014,"Dead",2014,0,13.45,482,1,2283,48,"F",0,1.7210586679052,"19-Aug-14","31-Aug-14",1,200,NA,2500,0,0,0,2,"JGP","2014-08-19",8
9800,"M",2014,"Dead",2016,2,26.3,444,1,2654,55,"E",0,1.69130624841849,"14-Aug-16","30-Aug-16",2,0,0,600,0,0,0,2,"JGP","2016-08-14",8
9809,"M",2014,"Dead",2014,0,15.5,482,1,2905,82,"G",0,2.07003666349275,"19-Aug-14","31-Aug-14",1,600,NA,6600,200,0,0,2,"JGP","2014-08-19",8
9809,"M",2014,"Dead",2015,1,19,513,1,2985,62,"E",0,1.78625370469842,"07-Aug-15","23-Aug-15",1.5,300,0,0,0,0,100,2,"JGP","2015-08-07",8
9822,"F",2014,"Alive",2015,1,13.1,513,1,3111,64,"D",0,1.85084329835908,"07-Aug-15","23-Aug-15",1.5,400,0,400,0,0,200,2,"JGP","2015-08-07",8
9822,"F",2014,"Alive",2016,2,16.6,444,1,2808,59,"A",0,1.65115659883633,"14-Aug-16","30-Aug-16",1.5,400,0,400,0,0,0,2,"JGP","2016-08-14",8
9827,"F",2014,"Alive",2014,0,12.4,482,1,2487,52,"D",0,1.41090069428362,"12-Aug-14","26-Aug-14",1,1300,NA,14400,50,0,0,2,"JGP","2014-08-12",8
9827,"F",2014,"Alive",2015,1,15.95,513,1,3372,70,"D",0,1.60381625746026,"07-Aug-15","23-Aug-15",1.5,300,0,800,0,0,0,2,"JGP","2015-08-07",8
9827,"F",2014,"Alive",2016,2,21.85,444,1,2449,51,"F",0,1.83558156067922,"14-Aug-16","30-Aug-16",2,100,0,1500,0,0,0,2,"JGP","2016-08-14",8
9839,"M",2014,"Alive",2014,0,16.55,482,1,2349,49,"A",0,1.84908221272917,"19-Aug-14","31-Aug-14",1.5,600,NA,12000,300,0,0,2,"JGP","2014-08-19",8
9839,"M",2014,"Alive",2015,1,18.2,513,1,3442,71,"C",0,1.7273902778515,"07-Aug-15","23-Aug-15",2,1600,200,2000,0,0,0,2,"JGP","2015-08-07",8
9839,"M",2014,"Alive",2016,2,28.6,444,1,2682,56,"A",0,1.88376180990187,"14-Aug-16","30-Aug-16",1.5,800,0,600,0,0,0,2,"JGP","2016-08-14",8
9840,"M",2014,"Dead",2014,0,17.8,482,1,2923,82,"A",0,2.27265566887607,"09-Aug-14","28-Aug-14",1,600,NA,5600,100,0,0,2,"JGP","2014-08-09",8
9840,"M",2014,"Dead",2015,1,20.6,513,1,3709,77,"A",0,1.94115502413052,"07-Aug-15","23-Aug-15",1.5,1100,100,1400,0,0,100,2,"JGP","2015-08-07",8
9840,"M",2014,"Dead",2016,2,25.25,444,1,2584,54,"F",0,1.79764804242497,"14-Aug-16","30-Aug-16",4,900,0,400,0,0,0,2,"JGP","2016-08-14",8
9849,"F",2014,"Alive",2015,1,18.2,513,1,3242,67,"A",0,1.8396409950033,"17-Aug-15","24-Aug-15",3,100,0,200,0,0,0,2,"JGP","2015-08-17",8
