"ID","Sex","BirthYear","Status","DeathYear","Year","PopSize","Age","Weight","Survival","UniqueExtractionID","SampleYear","qPCRPlate","qPCRRow","LowPurity","RTL","DateCollect","DateProc","Condition","Strongyles","Strongyloides","Coccidea","Nematodirus","Trichuris","Capillaria","Monezia","Person"
7256,"M",2009,"Dead",2016,2013,545,4,38.5,1,1033,2013,22,"H","0",1.5458672340299,"15-Aug-13","30-Aug-13",1,200,NA,600,0,0,0,2,"JGP"
7257,"F",2009,"Dead",2018,2010,672,1,19.1,1,4212,2010,89,"D","0",1.87510940528954,"19-Aug-10","02-Sep-10",1,100,NA,600,0,0,0,2,"JGP"
7257,"F",2009,"Dead",2018,2011,649,2,20,1,3202,2011,66,"H","0",1.46911250140633,"15-Aug-11","01-Sep-11",2,300,NA,600,0,0,0,2,"JGP"
7257,"F",2009,"Dead",2018,2013,545,4,23.7,1,1647,2013,35,"E","0",1.67262870061774,"20-Aug-13","04-Sep-13",1.5,0,NA,0,0,0,0,2,"JGP"
7260,"M",2009,"EstDead",2012,2009,617,0,11.9,1,141,2009,3,"F","0",1.50358381341843,"12-Aug-09","30-Aug-09",1,1000,NA,1700,100,0,0,2,"JGP"
7260,"M",2009,"EstDead",2012,2010,672,1,14.1,1,2662,2010,56,"E","0",1.68697818478974,"10-Aug-10","28-Aug-10",1,0,NA,600,0,0,0,2,"JGP"
7260,"M",2009,"EstDead",2012,2011,649,2,22,0,3096,2011,64,"E","0",1.79480605230778,"11-Aug-11","27-Aug-11",1.5,800,NA,3200,0,0,0,1,"JGP"
7261,"F",2009,"Dead",2014,2010,672,1,18.2,1,2181,2010,45,"G","0",2.00497001531477,"10-Aug-10","28-Aug-10",1.5,0,NA,800,0,0,0,2,"JGP"
7261,"F",2009,"Dead",2014,2011,649,2,21.7,1,3846,2011,80,"C","0",1.31429598829193,"11-Aug-11","27-Aug-11",2,0,NA,300,0,0,0,2,"JGP"
7261,"F",2009,"Dead",2014,2012,362,3,26.4,1,535,2012,12,"D","0",1.54637383623317,"14-Aug-12","01-Sep-12",2,0,NA,0,0,0,0,2,"JGP"
7261,"F",2009,"Dead",2014,2013,545,4,26.55,1,1834,2013,39,"B","0",1.74977616429608,"12-Aug-13","26-Aug-13",2,100,NA,300,0,0,0,2,"JGP"
7262,"F",2009,"Dead",2019,2009,617,0,13.4,1,3981,2009,84,"B","0",2.52314303360503,"13-Aug-09","31-Aug-09",1,600,NA,3800,0,0,0,2,"JGP"
7262,"F",2009,"Dead",2019,2011,649,2,20.7,1,3470,2011,72,"G","0",1.81186215829435,"11-Aug-11","29-Aug-11",3,100,NA,600,0,0,0,2,"JGP"
7262,"F",2009,"Dead",2019,2015,513,6,23.65,1,3869,2015,80,"B","0",2.44444680484638,"17-Aug-15","24-Aug-15",2,100,0,200,0,0,0,2,"JGP"
7262,"F",2009,"Dead",2019,2016,444,7,24.2,1,2904,2016,82,"F","0",1.89938591774441,"14-Aug-16","30-Aug-16",2,0,0,300,0,0,0,2,"JGP"
7267,"F",2009,"Dead",2016,2009,617,0,14.1,1,758,2009,16,"E","0",2.042022653596,"17-Aug-09","01-Sep-09",1,100,NA,12000,0,0,0,2,"JGP"
7267,"F",2009,"Dead",2016,2010,672,1,18,1,2310,2010,48,"A","0",1.69683337383179,"10-Aug-10","28-Aug-10",1,0,NA,500,0,0,0,2,"JGP"
7267,"F",2009,"Dead",2016,2011,649,2,21.6,1,3055,2011,63,"D","0",1.87232585330129,"11-Aug-11","28-Aug-11",2,300,NA,1000,0,0,0,2,"JGP"
